repository,url,domain,focus,suggested_tier,discovery_score,relevance_score,activity_score,stars,forks,open_issues,language,license,created_at,pushed_at,archived,topics,matched_queries,reason,decision,discovered_at
FracThePermian/FEM-Reservoir-Drainage-3D,https://github.com/FracThePermian/FEM-Reservoir-Drainage-3D,Geoscience / Other,Compares analytical/numerical results for the drainage of a single well.,Reference,39.3,51,13.7,8,4,2,MATLAB,MIT,2020-07-24T00:53:53Z,2020-07-24T03:27:20Z,False,3d;3d-simulation;finite-element-methods;geology;matlab;oil-and-gas;petroleum;petroleum-engineering;physics-simulation;simulation,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=13.7; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
ayazhassan-courses/ReverseTimeMigration,https://github.com/ayazhassan-courses/ReverseTimeMigration,Seismic / Processing,Reverse Time Migration (RTM) uses numerical wave propagation to generate high-resolution seismic images.  Finite-difference stencil updates dominate the computational workload and map efficiently to GPUs.,Reference,39.1,51,26.7,0,2,0,Cuda,GPL-3.0,2025-11-13T12:20:58Z,2025-11-13T13:36:08Z,False,,"reverse time migration RTM seismic in:name,description,topics","relevance=51; activity=26.7; matched=rtm, seismic",review,2026-09-04T17:04:06.421401+00:00
Jiangwb/Windowing-seismograms-for-FWI,https://github.com/Jiangwb/Windowing-seismograms-for-FWI,Seismic / Processing,Automatic time window selection for seismic full waveform inversion through deep learning,Reference,39.0,51,12.8,8,4,0,Python,,2020-06-23T06:53:08Z,2020-06-23T07:04:25Z,False,,"full waveform inversion FWI seismic in:name,description,topics","relevance=51; activity=12.8; matched=fwi, seismic",review,2026-09-04T17:04:06.421401+00:00
NAPTRIX/ReservoirSimulator,https://github.com/NAPTRIX/ReservoirSimulator,Reservoir / Modeling,Web-based petroleum reservoir modeling and simulation tool.,Reference,39.0,51,26.4,0,0,0,JavaScript,,2025-12-29T12:37:55Z,2025-12-29T12:52:05Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=26.4; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
LASG-USP/Petro-Hybrid-LSTM,https://github.com/LASG-USP/Petro-Hybrid-LSTM,Reservoir / Simulation,"Data, images, and code repository for the Petroleum Science and Technology article (Hybrid Forecasting of Oil and Water Production Using Long Short-Term Memory Networks Guided by Reservoir Simulation Outputs)",Reference,39.0,51,26.2,0,0,0,Jupyter Notebook,CC0-1.0,2025-12-26T16:54:58Z,2025-12-26T18:30:51Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=26.2; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
brunocsartori/Petro-Hybrid-LSTM,https://github.com/brunocsartori/Petro-Hybrid-LSTM,Reservoir / Simulation,"Data, images, and code repository for the Petroleum Science and Technology article (Hybrid Forecasting of Oil and Water Production Using Long Short-Term Memory Networks Guided by Reservoir Simulation Outputs)",Reference,38.9,51,26.1,0,0,0,Jupyter Notebook,CC0-1.0,2025-12-17T11:59:14Z,2025-12-24T17:14:50Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=26.1; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
SereneAnt/segystream,https://github.com/SereneAnt/segystream,Seismic / Processing,Reactively streaming SEG-Y parser,Reference,38.6,54,7.0,5,0,0,Scala,MIT,2018-05-12T01:50:48Z,2018-11-08T07:09:35Z,False,geophysics;reactive-streams;segy;seismology,"segy SEG-Y geophysics in:name,description,topics","relevance=54; activity=7.0; matched=geophysics, seg-y, segy",review,2026-09-04T17:04:06.421401+00:00
srodrb/BSC-FWI,https://github.com/srodrb/BSC-FWI,Seismic / Processing,BSC Full Waveform Inversion technology demonstrator,Reference,38.1,51,11.2,6,3,0,C,,2017-01-24T09:10:50Z,2017-04-18T14:21:07Z,False,bsc;fwi;seismic,"full waveform inversion FWI seismic in:name,description,topics","relevance=51; activity=11.2; matched=fwi, seismic",review,2026-09-04T17:04:06.421401+00:00
Ali-Saud/ML-in-PE,https://github.com/Ali-Saud/ML-in-PE,Reservoir / Simulation,"Application of Machine Learning to predict future performances, and to do sensitivity analysis in reservoir simulations, which helps to solve petroleum engineering computational problems and taking decisions in a timely manner.",Reference,37.7,51,10.6,5,3,0,Jupyter Notebook,GPL-3.0,2021-03-20T19:10:05Z,2021-11-14T14:01:03Z,False,learning;machine;petroleum;prediction;regression,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=10.6; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
TheodorusR/Reservoir-Simulation,https://github.com/TheodorusR/Reservoir-Simulation,Reservoir / Simulation,"Reservoir simulation project for petroleum engineers, allowing injection-production sensitivity study.",Reference,35.7,51,6.0,3,0,1,Python,,2020-12-21T13:57:11Z,2020-12-21T14:03:14Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=6.0; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
shivani-patel-coder/Reservoir-Simulation---CMG-Software-Project-,https://github.com/shivani-patel-coder/Reservoir-Simulation---CMG-Software-Project-,Reservoir / Simulation,Petroleum Engineering - Reservoir Simulation Coursework CMG Software Files,Reference,34.7,51,4.3,2,0,0,,,2021-03-27T22:57:10Z,2021-03-27T22:59:26Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=4.3; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
Eng-RSMY/PyRMS,https://github.com/Eng-RSMY/PyRMS,Reservoir / Modeling,"Petroleum reservoir modelling, simulation and history matching using Python language",Reference,34.7,51,4.3,2,0,0,,,2021-02-07T02:35:50Z,2021-01-10T00:12:12Z,False,,"reservoir simulation petroleum in:name,description,topics;history matching reservoir in:name,description,topics","relevance=51; activity=4.3; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
mtsousa/FER-2022-2_PetroleumReservoirSimulation,https://github.com/mtsousa/FER-2022-2_PetroleumReservoirSimulation,Geoscience / Other,Simulação de reservatório de petróleo utilizando MRST,Reference,34.1,51,4.5,1,1,0,MATLAB,,2023-01-29T03:37:26Z,2023-03-21T00:14:34Z,False,matlab;mrst;petroleum;reservoir-engineering;reservoir-simulation,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=4.5; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
mycarta/Geoscience_Machine_Learning_bits_and_bobs,https://github.com/mycarta/Geoscience_Machine_Learning_bits_and_bobs,Geoscience / Other,Machine Learning (and Data Science) bits and bobs for Subsurface work,Reference,34.1,51,4.5,1,1,0,Jupyter Notebook,,2019-06-12T03:23:24Z,2019-12-18T04:51:17Z,False,,"geoscience machine learning subsurface in:name,description,topics","relevance=51; activity=4.5; matched=geoscience, subsurface",review,2026-09-04T17:04:06.421401+00:00
mzallaghi4/Engineering,https://github.com/mzallaghi4/Engineering,Reservoir / Simulation,"This repository contains materials related to my petroleum engineering activities, specifically reservoir simulation and flow modeling in porous media.",Reference,33.6,51,2.7,1,0,0,Jupyter Notebook,MIT,2023-05-21T19:22:00Z,2023-05-23T07:57:27Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=2.7; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
BzzRustt/school-simulation-application,https://github.com/BzzRustt/school-simulation-application,Reservoir / Simulation,Building a free reservoir simulation application to introduce petroleum engineering students to reservoir simulation,Reference,33.6,51,2.7,1,0,0,,,2020-08-07T17:42:07Z,2020-08-07T17:42:09Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=2.7; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
Abhishekshah28/Equation-of-state-project,https://github.com/Abhishekshah28/Equation-of-state-project,Reservoir / Simulation,"The ""Equation of State"" project offers advanced models for accurate prediction of petroleum fluid properties and reservoir behavior. It includes implementations of various EOS formulations, fluid property calculations, and integration tools",Reference,31.6,51,0.0,0,0,0,Python,,2024-08-24T18:05:36Z,2024-08-24T19:42:23Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=0.0; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
KianaAsa/Applied-Computer-Methods-in-Petroleum-Science,https://github.com/KianaAsa/Applied-Computer-Methods-in-Petroleum-Science,Reservoir / Simulation,"Reservoir simulation is vital for reservoir engineers to understand real reservoir behavior and simulate oil and gas flow. This report details oil production simulation using numerical approximation and finite difference methods in Python, ",Reference,31.6,51,0.0,0,0,0,,,2024-01-08T20:52:14Z,2024-01-08T20:53:19Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=0.0; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
Eng-RSMY/Petroleum-Reservoir-Simulation-Using-Recurrent-Neural-Network-LSTM-,https://github.com/Eng-RSMY/Petroleum-Reservoir-Simulation-Using-Recurrent-Neural-Network-LSTM-,Geoscience / Other,,Reference,31.6,51,0.0,0,0,0,,,2021-02-07T02:40:01Z,2021-01-30T00:45:43Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=0.0; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
softwareunderground/awesome-machine-learning,https://github.com/softwareunderground/awesome-machine-learning,Geoscience / Other,Awesome subsurface- and geoscience-related machine learning papers,Reference,31.6,51,0.0,0,0,0,,CC0-1.0,2023-07-21T12:25:13Z,2023-07-21T14:26:58Z,False,,"geoscience machine learning subsurface in:name,description,topics","relevance=51; activity=0.0; matched=geoscience, subsurface",review,2026-09-04T17:04:06.421401+00:00
